slug,検索学名,実際の学名,判定
albino-chinese-softshell,Pelodiscus sinensis,Pelodiscus sinensis,OK
florida-softshell-turtle,Apalone ferox,Apalone ferox,OK
spiny-softshell-turtle,Apalone spinifera,Apalone spinifera,OK
smooth-softshell-turtle,Apalone mutica,Apalone mutica mutica,OK(属一致)
pig-nosed-turtle,Carettochelys insculpta,Carettochelys insculpta,OK
japanese-pond-turtle,Mauremys japonica,Mauremys japonica,OK
reeves-turtle,Mauremys reevesii,Mauremys reevesii,OK
canton-reeves-turtle,Mauremys nigricans,,NOT_FOUND
yellow-pond-turtle,Mauremys mutica,Mauremys mutica,OK
yaeyama-pond-turtle,Mauremys mutica,Mauremys mutica,OK
chinese-stripe-necked-turtle,Mauremys sinensis,Mauremys sinensis,OK
european-pond-turtle,Emys orbicularis,Emys orbicularis persica,OK(属一致)
chinese-box-turtle,Cuora flavomarginata sinensis,Cuora flavomarginata evelynae,OK(属一致)
taiwan-box-turtle,Cuora flavomarginata flavomarginata,Cuora flavomarginata flavomarginata,OK
malayan-box-turtle,Cuora amboinensis,Cuora amboinensis,OK
asian-leaf-turtle,Cyclemys dentata,Cyclemys dentata,OK
asian-black-marsh-turtle,Siebenrockiella crassicollis,Siebenrockiella crassicollis,OK
hirase-turtle,Cuora mouhotii,Cuora mouhotii,OK
spenglers-leaf-turtle,Geoemyda spengleri,,NOT_FOUND
spotted-turtle,Clemmys guttata,Clemmys guttata,OK
wood-turtle,Glyptemys insculpta,Glyptemys insculpta,OK
blandings-turtle,Emydoidea blandingii,Emydoidea blandingii,OK
carolina-diamondback-terrapin,Malaclemys terrapin centrata,Malaclemys terrapin centrata,OK
northern-diamondback-terrapin,Malaclemys terrapin terrapin,Malaclemys terrapin terrapin,OK
ornate-diamondback-terrapin,Malaclemys terrapin macrospilota,Malaclemys terrapin macrospilota,OK
annulated-wood-turtle,Rhinoclemmys annulata,Rhinoclemmys annulata,OK
painted-wood-turtle,Rhinoclemmys pulcherrima,Rhinoclemmys pulcherrima rogerbarbouri,OK(属一致)
brown-wood-turtle-manni,Rhinoclemmys pulcherrima,Rhinoclemmys pulcherrima rogerbarbouri,OK(属一致)
nicaragua-wood-turtle,Rhinoclemmys funerea,Rhinoclemmys funerea,OK
giant-musk-turtle,Staurotypus triporcatus,Staurotypus triporcatus,OK
giant-musk-turtle-mx,Staurotypus triporcatus,Staurotypus triporcatus,OK
