slug,idx,観察ID,撮影者,ライセンス,画像URL
wood-turtle,4,6967925,mellis,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/8913387/large.jpg
wood-turtle,5,120535469,blakemross,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/203877825/large.jpeg
peninsula-cooter,1,20260810,josegarrido,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/31273365/large.jpg
peninsula-cooter,2,13926190,buggybuddy,cc0,https://inaturalist-open-data.s3.amazonaws.com/photos/20575430/large.jpg
peninsula-cooter,3,193961126,kcthetc1,cc0,https://inaturalist-open-data.s3.amazonaws.com/photos/340817576/large.jpeg
peninsula-cooter,4,104655190,vijaybarve,cc0,https://inaturalist-open-data.s3.amazonaws.com/photos/175407070/large.jpeg
peninsula-cooter,5,200231384,garyleavens,cc-by-sa,https://inaturalist-open-data.s3.amazonaws.com/photos/353230663/large.jpg
hime-nioi-turtle,1,110524180,gatorhawk,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/186455291/large.jpeg
hime-nioi-turtle,2,110524182,gatorhawk,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/186455362/large.jpeg
hime-nioi-turtle,3,194925008,alex_abair,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/342774740/large.jpg
hime-nioi-turtle,4,19073509,henriquep,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/29264163/large.jpg
hime-nioi-turtle,5,110524183,gatorhawk,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/186455467/large.jpeg
loggerhead-musk-turtle,1,110524180,gatorhawk,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/186455291/large.jpeg
loggerhead-musk-turtle,2,110524182,gatorhawk,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/186455362/large.jpeg
loggerhead-musk-turtle,3,194925008,alex_abair,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/342774740/large.jpg
loggerhead-musk-turtle,4,19073509,henriquep,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/29264163/large.jpg
loggerhead-musk-turtle,5,110524183,gatorhawk,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/186455467/large.jpeg
white-lipped-mud-turtle,1,25908101,fresa_diving_caves,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/40181456/large.jpeg
white-lipped-mud-turtle,2,226615102,cowturtle,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/401931803/large.jpg
white-lipped-mud-turtle,3,69589430,glynn,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/112947160/large.jpeg
white-lipped-mud-turtle,4,19631377,jstraka,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/30226658/large.jpg
white-lipped-mud-turtle,5,338751694,estebanmh,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/616100513/large.jpg
albino-chinese-softshell,1,245665,muir,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/307067/large.JPG
albino-chinese-softshell,2,2622006,lancillotto,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/2935355/large.jpg
albino-chinese-softshell,3,69254887,arba3c,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/112339303/large.png
albino-chinese-softshell,4,175177156,yunglunlin,cc-by,https://inaturalist-open-data.s3.amazonaws.com/photos/304412996/large.jpeg
albino-chinese-softshell,5,27988851,oscaryin,cc-by-sa,https://inaturalist-open-data.s3.amazonaws.com/photos/43600762/large.jpg
